"filename", "language", "Markdown", "Python", "MS SQL", "JSON with Comments", "XML", "JSON", "JavaScript", "Properties", "HTML", "YAML", "vue", "PostCSS", "Java", "comment", "blank", "total"
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\WorkflowHistory.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 39, 16, 91
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\WorkflowInstance.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 66, 25, 146
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\WorkflowNode.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 48, 19, 109
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\WorkflowTask.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 66, 25, 145
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\WorkflowTemplate.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 51, 20, 116
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\AnnouncementMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 42, 15, 116
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\AttendanceRecordMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 27, 10, 117
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\CollaborativeDocumentMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 18, 9, 69
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\DepartmentMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 36, 13, 93
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\DocumentMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 15, 8, 50
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\EmployeeMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 33, 12, 96
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\LeaveApplicationMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 30, 11, 125
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\RoleMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 36, 13, 85
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\TaskCommentMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 4, 20
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\TaskMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 18, 9, 69
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\UserMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 27, 9, 65
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\WorkflowConditionMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 18, 8, 49
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\WorkflowHistoryMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 18, 8, 46
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\WorkflowInstanceMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 18, 8, 47
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\WorkflowNodeMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 18, 8, 49
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\WorkflowTaskMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 21, 9, 53
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\WorkflowTemplateMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 12, 6, 34
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\AuthService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 42, 35, 209
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\CollaborativeDocumentService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 51, 20, 99
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\DocumentService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 51, 20, 100
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\EmployeeManagementService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 283, 57, 77, 417
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\LeaveApplicationService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 30, 6, 47
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\OrganizationService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 42, 15, 76
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\TaskCommentService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 21, 10, 47
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\TaskService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 48, 19, 97
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\WorkflowEngineService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 36, 14, 69
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\WorkflowInstanceService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 47, 9, 71
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\WorkflowTemplateService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 12, 58
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\impl\CollaborativeDocumentServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 231, 13, 51, 295
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\impl\DocumentServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 18, 33, 198
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\impl\LeaveApplicationServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 218, 33, 42, 293
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\impl\OrganizationServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 290, 83, 72, 445
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\impl\WorkflowEngineServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 385, 48, 90, 523
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\impl\WorkflowInstanceServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 296, 65, 68, 429
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\impl\WorkflowTemplateServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 20, 43, 263
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\util\JwtUtil.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 25, 14, 97
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\websocket\CollaborationWebSocketHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 23, 36, 222
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\resources\application.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 3, 8, 55
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\resources\mapper\DocumentMapper.xml", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"d:\项目\综合课程设计\SOMS-5\admin-backend\target\classes\application.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 3, 8, 55
"d:\项目\综合课程设计\SOMS-5\admin-backend\target\classes\com\office\admin\AdminBackendApplication.class", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
